STATION_ID,STATION_NAME,LATITUDE,LONGITUDE,STATION_TYPE,REFERENCES,SOIL_TYPE,PGA_VALUE,SA(0.3)_VALUE,SA(0.6)_VALUE,SA(1.0)_VALUE,PGA_LN_SIGMA,SA(0.3)_LN_SIGMA,SA(0.6)_LN_SIGMA,SA(1.0)_LN_SIGMA,PGA_VALUE_1,SA(0.3)_VALUE_1,SA(0.6)_VALUE_1,SA(1.0)_VALUE_1,PGA_VALUE_2,SA(0.3)_VALUE_2,SA(0.6)_VALUE_2,SA(1.0)_VALUE_2,PGA_VALUE_V,SA(0.3)_VALUE_V,SA(0.6)_VALUE_V,SA(1.0)_VALUE_V
ACAC,ACAPULCO CENTRO CULTURAL,16.84851,-99.85157,seismic,Stations_UNAM,ARENA - LIMO - ARCILLA,0.058739,0.2009,0.182918,0.023323,0,0,0,0,0.058739,0.2009,0.182918,0.02325,0.042338,0.10019,0.100996,0.023323,0.025611,0.049289,0.02342,0.009965
ACAD,ACAPULCO ESCUELA DIANA,16.86225,-99.87147,seismic,Stations_UNAM,LIMO ARENOSO,0.06082,0.145138,0.024684,0.011314,0,0,0,0,0.046043,0.13927,0.016449,0.008183,0.06082,0.145138,0.024684,0.010031,0.021615,0.024623,0.013112,0.011314
ACAM,ACAMBARO,20.043186,-100.716777,seismic,Stations_UNAM,ROCA,0.004479,0.005216,0.006579,0.008567,0,0,0,0,0.003632,0.005216,0.006579,0.006909,0.004479,0.005047,0.006387,0.008567,0.002186,0.003309,0.005915,0.003957
ACAR,ACAPULCO RENACIMIENTO,16.888789,-99.835027,seismic,Stations_UNAM,ALUVIAL,0.035697,0.170436,0.032399,0.015386,0,0,0,0,0.03276,0.16309,0.02141,0.007687,0.035697,0.170436,0.032399,0.010185,0.029735,0.045042,0.011906,0.015386
ACAZ,ACAPULCO LA ZANJA,16.788528,-99.790152,seismic,Stations_UNAM,DEPOSITO BARRA,0.04484,0.083974,0.040339,0.0958,0,0,0,0,0.037508,0.069017,0.040339,0.0958,0.04484,0.083974,0.034185,0.083736,0.030257,0.043873,0.020513,0.015326
ACP2,ACAPULCO PREPARATORIA No. 2,16.874294,-99.886505,seismic,Stations_UNAM,ROCA,0.035366,0.07973,0.024192,0.008637,0,0,0,0,0.035366,0.07973,0.022706,0.006149,0.03229,0.067118,0.024192,0.008585,0.017721,0.028058,0.013288,0.008637
AGCA,AGUACALIENTE,16.83733,-99.64526,seismic,Stations_UNAM,ROCA,0.020681,0.036959,0.017839,0.012855,0,0,0,0,0.020681,0.031668,0.017839,0.012855,0.017964,0.036959,0.013829,0.010049,0.018568,0.021674,0.011283,0.007538
ATYC,ATOYAC,17.213361,-100.432269,seismic,Stations_UNAM,ROCA,0.018676,0.030422,0.017056,0.009122,0,0,0,0,0.01442,0.030422,0.017056,0.008755,0.018676,0.020666,0.013455,0.007632,0.01669,0.022815,0.010838,0.009122
CANA,LAS CANAS,18.567007,-101.977162,seismic,Stations_UNAM,ROCA,0.009235,0.01954,0.01217,0.009706,0,0,0,0,0.009144,0.01954,0.01073,0.006699,0.009235,0.014982,0.008045,0.005421,0.007872,0.01552,0.01217,0.009706
CCCL,CENTRO CULTURAL UNIVERSITARIO TLATELOLCO CAMPO LIBRE,19.449858,-99.137919,seismic,Stations_UNAM,SUELO,0.085528,0.18828,0.178628,0.226287,0,0,0,0,0.085528,0.18828,0.178628,0.226287,0.073419,0.179263,0.103591,0.166782,0.041002,0.104676,0.100735,0.055412
