calc_id,description,cal_time,gmpe,imt,nominal_bias,max_gmv,Rupture,GMLT,Recording_Stations,abs_bias
42,"Median gmf - 20170919_M7.1_Puebla (Rupture:Melgar_et_al_2018, GMPEs:USGS, Recording Stations:seismic)",699,AtkinsonBoore2003SSlabCascadia,PGA,0.678,0.54397964,Melgar_et_al_2018,USGS,seismic,0.678
42,"Median gmf - 20170919_M7.1_Puebla (Rupture:Melgar_et_al_2018, GMPEs:USGS, Recording Stations:seismic)",699,ZhaoEtAl2016SSlab,PGA,-0.715,0.2868671,Melgar_et_al_2018,USGS,seismic,0.715
39,"Median gmf - 20170919_M7.1_Puebla (Rupture:USGS, GMPEs:USGS, Recording Stations:seismic)",676,AtkinsonBoore2003SSlab,PGA,0.738,0.5476763,USGS,USGS,seismic,0.738
34,"Median gmf - 20170919_M7.1_Puebla (Rupture:SSN, GMPEs:GEM, Recording Stations:all)",531,Kanno2006Deep,PGA,0.757,1.027678,SSN,GEM,all,0.757
41,"Median gmf - 20170919_M7.1_Puebla (Rupture:Melgar_et_al_2018, GMPEs:USGS, Recording Stations:all)",702,AtkinsonBoore2003SSlabCascadia,PGA,0.77,0.5954447,Melgar_et_al_2018,USGS,all,0.77
40,"Median gmf - 20170919_M7.1_Puebla (Rupture:USGS, GMPEs:USGS, Recording Stations:all)",695,AtkinsonBoore2003SSlab,PGA,0.816,0.58858484,USGS,USGS,all,0.816
37,"Median gmf - 20170919_M7.1_Puebla (Rupture:USGS, GMPEs:GEM, Recording Stations:seismic)",521,Kanno2006Deep,PGA,0.883,0.7664696,USGS,GEM,seismic,0.883
35,"Median gmf - 20170919_M7.1_Puebla (Rupture:SSN, GMPEs:USGS, Recording Stations:seismic)",681,AtkinsonBoore2003SSlabCascadia,PGA,0.925,0.63412184,SSN,USGS,seismic,0.925
38,"Median gmf - 20170919_M7.1_Puebla (Rupture:USGS, GMPEs:GEM, Recording Stations:all)",521,Kanno2006Deep,PGA,0.952,0.8173991,USGS,GEM,all,0.952
36,"Median gmf - 20170919_M7.1_Puebla (Rupture:SSN, GMPEs:USGS, Recording Stations:all)",727,AtkinsonBoore2003SSlabCascadia,PGA,1.012,0.6888141,SSN,USGS,all,1.012
39,"Median gmf - 20170919_M7.1_Puebla (Rupture:USGS, GMPEs:USGS, Recording Stations:seismic)",676,AtkinsonBoore2003SSlabCascadia,PGA,1.184,0.5973525,USGS,USGS,seismic,1.184
40,"Median gmf - 20170919_M7.1_Puebla (Rupture:USGS, GMPEs:USGS, Recording Stations:all)",695,AtkinsonBoore2003SSlabCascadia,PGA,1.264,0.64274734,USGS,USGS,all,1.264
