custom_site_id,lon,lat,vs30,vs30measured,z1pt0,z2pt5
t_8985,-100.07812,20.2548,413.0,False,339.47667,1.21918
t_8986,-100.12616,20.2554,502.0,False,226.46689,0.97523
t_8987,-100.1742,20.25598,470.0,False,266.28213,1.05156
t_8988,-100.22224,20.25655,588.0,False,136.02966,0.81385
t_8989,-100.27027,20.25711,518.0,False,207.55018,0.94085
t_8990,-99.88527,20.29758,308.0,False,452.40309,1.70534
t_8991,-99.93332,20.29824,384.0,False,375.09523,1.32507
t_8992,-99.98137,20.29889,516.0,False,209.87049,0.94502
t_8993,-98.11691,19.94525,673.0,False,76.58313,0.69737
t_8994,-98.16482,19.94647,578.0,False,145.00087,0.82998
t_8995,-98.21274,19.94767,492.0,False,238.66414,0.99794
t_8996,-98.26065,19.94886,404.0,False,350.76074,1.2503
t_8997,-98.30857,19.95003,564.0,False,158.28294,0.85359
t_8998,-98.35649,19.95119,412.0,False,340.7386,1.22256
t_8999,-98.4044,19.95234,388.0,False,370.32452,1.30945
t_9000,-98.45232,19.95347,385.0,False,373.90755,1.32113
t_9001,-98.50024,19.95458,356.0,False,406.79224,1.44496
t_9002,-98.11561,19.99056,508.0,False,219.28092,0.96207
t_9003,-98.16354,19.99178,528.0,False,196.15454,0.92049
t_9004,-98.21147,19.99298,485.0,False,247.34795,1.01444
t_9005,-98.2594,19.99417,569.0,False,153.4432,0.84502
t_9006,-98.30733,19.99534,449.0,False,293.2685,1.10801
t_9007,-98.35527,19.9965,588.0,False,136.02966,0.81385
t_9008,-98.4032,19.99765,767.0,False,39.29475,0.60049
t_9009,-98.45114,19.99878,543.0,False,179.74849,0.89146
t_9010,-98.49907,19.99989,499.0,False,230.09832,0.98194
t_9011,-98.11431,20.03587,431.0,False,316.5021,1.16111
t_9012,-98.16226,20.03709,644.0,False,93.64115,0.73341
t_9013,-98.2102,20.03829,419.0,False,331.86827,1.19923
t_9014,-98.25815,20.03948,570.0,False,152.48803,0.84332
t_9015,-98.3061,20.04066,234.0,False,497.75773,2.33524
t_9016,-98.35405,20.04182,344.0,False,419.31836,1.50276
t_9017,-98.402,20.04296,453.0,False,288.10433,1.09682
t_9018,-98.44995,20.04409,540.0,False,182.96066,0.89713
t_9019,-98.4979,20.04521,369.0,False,392.4733,1.38687
t_9020,-98.11301,20.08118,548.0,False,174.47416,0.88216
t_9021,-98.16097,20.0824,302.0,False,457.21896,1.74416
t_9022,-98.20893,20.08361,428.0,False,320.35838,1.17042
t_9023,-98.2569,20.0848,556.0,False,166.24591,0.86766
t_9024,-98.30486,20.08597,571.0,False,151.53712,0.84163
t_9025,-98.35283,20.08713,469.0,False,267.55728,1.05412
t_9026,-98.4008,20.08828,266.0,False,481.81957,2.01674
t_9027,-98.44876,20.08941,406.0,False,348.26823,1.24325
t_9028,-98.49673,20.09052,660.0,False,83.84806,0.71311
t_9029,-98.5447,20.09162,673.0,False,76.58313,0.69737
t_9030,-98.11171,20.12649,445.0,False,298.43653,1.11941
t_9031,-98.15969,20.12772,514.0,False,212.20397,0.94923
t_9032,-98.20767,20.12892,423.0,False,326.76524,1.18626
t_9033,-98.25565,20.13011,536.0,False,187.29804,0.90479
t_9034,-98.30363,20.13129,475.0,False,259.92803,1.03891
t_9035,-98.35161,20.13245,567.0,False,155.36635,0.84843
t_9036,-98.39959,20.1336,269.0,False,480.04735,1.99103
t_9037,-98.44757,20.13473,424.0,False,325.48616,1.18306
t_9038,-98.49556,20.13584,332.0,False,431.12268,1.56506
